
# Writing all output to stdout
# Analysing free energies contained in file(s) "['lambda-0.0000/gradients.s3', 'lambda-0.0625/gradients.s3', 'lambda-0.1250/gradients.s3', 'lambda-0.1875/gradients.s3', 'lambda-0.2500/gradients.s3', 'lambda-0.3125/gradients.s3', 'lambda-0.3750/gradients.s3', 'lambda-0.4375/gradients.s3', 'lambda-0.5000/gradients.s3', 'lambda-0.5625/gradients.s3', 'lambda-0.6250/gradients.s3', 'lambda-0.6875/gradients.s3', 'lambda-0.7500/gradients.s3', 'lambda-0.8125/gradients.s3', 'lambda-0.8750/gradients.s3', 'lambda-0.9375/gradients.s3', 'lambda-1.0000/gradients.s3']"
# Processing object TI( nLambdaValues() == 17, nIterations() == 1, nSamples() == 170000 )
# Averaging over iterations 0 to 0
# Convergence
# Iteration 
# TI 
# PMFs
# TI
# Lambda  PMF  Maximum  Minimum 
0.6300000000000003  -1.9434177366224574  -1.8870922185582168  -1.999743254686698
0.6400000000000003  -1.9549463195496966  -1.8982431256039423  -2.011649513495451
0.6500000000000004  -1.9665721884393497  -1.909489656891465  -2.0236547199872343
0.6600000000000004  -1.978286346022727  -1.9208224073173454  -2.0357502847281084
0.6700000000000004  -1.9900878578345311  -1.9322401039969441  -2.047935611672118
0.6800000000000004  -2.001984516987928  -1.9437502865799356  -2.06021874739592
0.6900000000000004  -2.013993350910907  -1.9553698265150774  -2.072616875306737
0.7000000000000004  -2.0261409435423867  -1.9671252575633225  -2.085156629521451
0.7100000000000004  -2.038463545312183  -1.979052888702139  -2.0978742019222274
0.7200000000000004  -2.0510069421132964  -1.9911986695133543  -2.1108152147132384
0.7300000000000004  -2.06382605342941  -2.0036177772233934  -2.1240343296354265
0.7400000000000004  -2.07698422881053  -2.01637389377941  -2.1375945638416503
0.7500000000000004  -2.0905522110047587  -2.029538140714908  -2.1515662812946097
0.7600000000000005  -2.1046067332683545  -2.043187639109318  -2.166025827427391
0.7700000000000005  -2.119228717689819  -2.0574036616804405  -2.181053773699197
0.7800000000000005  -2.134501040794967  -2.072269344001077  -2.1967327375888575
0.7900000000000005  -2.150505832260763  -2.0878669220180948  -2.213144742503431
0.8000000000000005  -2.1673212722503186  -2.104274463476747  -2.23036808102389
0.8100000000000005  -2.185017852729298  -2.1215620615710202  -2.248473643887576
0.8200000000000005  -2.2036540681152212  -2.139787460133182  -2.2675206760972606
0.8300000000000005  -2.223271500783924  -2.158991081000861  -2.287551920566987
0.8400000000000005  -2.243889267304736  -2.1791904258556967  -2.308588108753775
0.8500000000000005  -2.265497791821703  -2.2003738268484323  -2.330621756794974
0.8600000000000005  -2.288051873752799  -2.2224935227444194  -2.3536102247611783
0.8700000000000006  -2.3114630179494995  -2.2454580401408277  -2.3774679957581712
0.8800000000000006  -2.33559099666729  -2.2691238625748866  -2.402058130759693
0.8900000000000006  -2.3602346141538617  -2.293286374077838  -2.4271828542298852
0.9000000000000006  -2.3851216463789027  -2.3176700679497504  -2.452573224808055
0.9100000000000006  -2.4098979304209314  -2.341918016280384  -2.477877844561479
0.9200000000000006  -2.434115580316508  -2.365580601040141  -2.502650559592875
0.9300000000000006  -2.4572203087665363  -2.3881035134447925  -2.52633710408828
0.9400000000000006  -2.478537837005442  -2.408815034776759  -2.548260639234125
